WEEKLY (ROUGHLY) NITROUS OXIDE READINGS AT AMERICAN SAMOA 1/77 TO 12/86
JIM ELKINS (NOAA) FTS 320-6224    JIM'S NAME FOR FILE = SMON2O_WK.DAT
NUMBER OF OBSERVATIONS = 888
RESPONSE VARIABLE = MEAN NITROUS OXIDE CONCENTRATION (IN PARTS PER ???)
ORDER OF VARIABLES ON A LINE IMAGE--
   1. YEAR (1977 TO 1986)
   2. DAY OF YEAR (1 TO 365)
   3. SAMPLE BOTTLE (OF ONLY MINOR INTEREST)
   4. STANDARD DEVIATION (OVER 3 OBSERVATIONS)
   5. MEAN (OVER 3 OBSERVATIONS) NITROUS OXIDE CONCENTRATION (PP?)
   6. VALIDITY FLAG (ONLY USE DATA WITH FLAG = 0)
   7. WATER VAPOR
   8. CO2
NOTE--ONLY USE DATA WITH VALIDTY FLAG = 0
      POLLUTION = COMBINATION OF HIGH CO2 AND HIGH FREON
                  WHEN FREON HIGH, EXPECT HIGH CO2 (POLLUTION)
                  CO2 COMES FROM COMBUSITON OF FOSSIL FUELS
                  FREON COME FROM AIR CONDITIONS
      AT MOST SITES, THERE SHOULD BE A SEASONAL EFFECT FOR CO2
      AT POINT BARROW, THERE IS ALSO A SEASONAL EFFECT FOR FREON-11
QUESTIONS--
   TRENDS AND CYCLES OVER TIME?
   RELATIONSHIP BETWEEN FREON AND WATER VAPOR?
   RELATIONSHIP BETWEEN FREON AND CO2?
   SAME PATTERNS AT ALL 5 SITES?
1978 208 176  1.7 300.1  0   1.0087 335.0000
1978 217 177  5.3 301.7  1   1.0088 335.9400
1978 217 177  1.9 299.9  0   1.0088 335.9400
1978 225 178  1.7 298.6  0   1.0085 333.6600
1978 225 178  2.4 297.4  0   1.0085 333.6600
1978 229 179  1.5 300.7  0   1.0085 335.6600
1978 229 179  1.8 299.9  0   1.0085 335.6600
1978 238 180  0.5 296.7  0   1.0085 336.0800
1978 238 180  1.8 298.1  0   1.0085 336.0800
1978 244 181  0.7 297.2  0   1.0091 335.9400
1978 244 181  0.8 299.7  0   1.0091 335.9400
1978 253 182  1.4 293.7  0   1.0089 336.2200
1978 253 182  2.4 295.9  0   1.0089 336.2200
1978 260 183  1.7 301.7  0   1.0088 336.0600
1978 260 183  2.5 298.2  0   1.0088 336.0600
1978 266 184  1.0 299.0  0   1.0084 334.4000
1978 266 184  0.9 304.4  0   1.0084 334.4000
1978 272 185  1.5 300.6  0   1.0080 334.4500
1978 272 185  1.8 300.9  0   1.0080 334.4500
1978 280 186  0.7 298.9  0   1.0082 334.5000
1978 280 186  0.2 298.9  0   1.0082 334.5000
1978 294 187  1.4 299.6  0   1.0083 334.5000
1978 294 187  3.5 297.5  0   1.0083 334.5000
1978 311 188  2.5 297.3  0   1.0079 334.5000
1978 311 188  2.4 300.9  0   1.0079 334.5000
1978 322 189  2.1 302.5  0   1.0077 334.4000
1978 322 189  1.0 299.6  0   1.0077 334.4000
1978 328 190  1.2 298.1  0   1.0070 334.4000
1978 328 190  1.7 299.8  0   1.0070 334.4000
1978 337 191  2.5 295.3  0   1.0079 334.7000
1978 337 191  1.4 300.8  0   1.0079 334.7000
1978 343 192  0.5 299.8  0   1.0078 334.4000
1978 343 192  2.2 300.5  0   1.0078 334.4000
1978 350 193  0.9 298.4  0   1.0083 334.2000
1978 350 193  2.1 299.0  0   1.0083 334.2000
1978 360 194  2.0 298.1  0   1.0072 334.3000
1978 360 194  1.2 299.6  0   1.0072 334.3000
1978 364 195  2.0 300.1  0   1.0077 334.3000
1978 364 195  0.7 299.4  0   1.0077 334.3000
1979   4 196  2.3 299.7  0   1.0085 334.3000
1979   4 196  2.3 303.1  0   1.0085 334.3000
1979  13 197  2.8 298.1  0   1.0083 335.7000
1979  13 197  0.6 301.0  0   1.0083 335.7000
1979  21 198  3.3 300.3  0   1.0075 334.7000
1979  21 198  2.9 300.6  0   1.0075 334.7000
1979  27 199  2.4 300.5  0   1.0079 335.0000
1979  27 199  3.3 305.9  4   1.0079 335.0000
1979  35 200  0.7 299.8  0   1.0083 336.0000
1979  35 200  0.5 299.9  0   1.0083 336.0000
1979  44 201  1.7 299.7  0   1.0076 338.2400
1979  44 201  0.4 300.1  0   1.0076 338.2400
1979  51 202  2.0 299.2  0   1.0085 336.3300
1979  51 202  3.6 298.8  0   1.0085 336.3300
1979  59 203  2.1 299.6  0   1.0082 336.3100
1979  59 203  0.8 301.3  0   1.0082 336.3100
1979  66 204  1.8 291.0  2
